196['519', '357', '318', '408', '64', '98', '515', '135', '198', '169']
875['408', '318', '285', '178', '100', '513', '114', '59', '127', '647']
876['408', '114', '169', '89', '272', '603', '963', '483', '64', '189']
872['169', '318', '144', '64', '22', '408', '174', '98', '96', '83']
866['169', '408', '318', '963', '483', '285', '513', '64', '194', '12']
877['12', '318', '483', '427', '191', '603', '428', '285', '519', '199']
873['64', '50', '178', '98', '174', '12', '169', '511', '408', '603']
880['114', '48', '408', '169', '427', '170', '480', '134', '513', '223']
878['408', '169', '483', '603', '520', '272', '187', '251', '199', '69']
869['474', '603', '169', '185', '89', '483', '511', '408', '357', '238']
881['313', '300', '482', '169', '251', '488', '408', '513', '611', '603']
879['169', '603', '408', '515', '114', '513', '189', '480', '483', '316']
883['474', '169', '150', '428', '483', '246', '489', '654', '114', '23']
882['127', '318', '64', '511', '178', '169', '651', '114', '170', '750']
884['408', '483', '513', '134', '169', '56', '59', '528', '180', '178']
886['114', '1007', '1039', '408', '169', '313', '489', '429', '603', '116']
885['22', '313', '64', '408', '963', '12', '709', '96', '515', '488']
889['272', '251', '176', '527', '487', '966', '963', '114', '313', '661']
874['64', '169', '483', '50', '318', '408', '12', '134', '114', '603']
892['513', '408', '302', '251', '603', '114', '170', '169', '1194', '528']
890['100', '511', '180', '302', '269', '178', '192', '191', '199', '318']
893['64', '318', '408', '12', '357', '169', '22', '427', '127', '272']
887['515', '174', '272', '408', '64', '169', '173', '315', '487', '963']
891['98', '603', '408', '178', '318', '191', '169', '659', '513', '657']
894['483', '199', '963', '178', '603', '427', '657', '408', '89', '98']
896['963', '205', '357', '99', '194', '520', '169', '750', '408', '1063']
897['169', '515', '313', '64', '519', '896', '511', '963', '59', '275']
901['496', '385', '143', '313', '272', '265', '408', '79', '169', '64']
899['22', '169', '923', '963', '613', '511', '408', '478', '189', '480']
903['603', '251', '135', '480', '483', '408', '511', '513', '659', '285']
904['515', '178', '513', '512', '318', '98', '408', '134', '963', '483']
907['95', '194', '603', '196', '515', '165', '480', '498', '648', '195']
905['98', '408', '318', '357', '12', '480', '251', '474', '191', '187']
902['22', '174', '313', '143', '169', '98', '272', '64', '427', '12']
898['408', '513', '169', '50', '483', '511', '963', '114', '654', '134']
895['483', '511', '408', '963', '12', '127', '427', '89', '169', '178']
906['64', '12', '515', '318', '169', '603', '483', '114', '657', '519']
900['64', '50', '357', '251', '127', '511', '513', '48', '603', '189']
908['191', '169', '511', '64', '316', '480', '251', '114', '487', '199']
916['127', '357', '187', '251', '515', '124', '199', '513', '285', '169']
911['169', '408', '114', '12', '50', '498', '318', '298', '96', '486']
912['515', '615', '663', '98', '408', '178', '603', '315', '199', '963']
914['496', '318', '178', '190', '479', '750', '83', '408', '478', '513']
918['169', '318', '513', '657', '603', '178', '519', '98', '408', '480']
919['603', '515', '114', '408', '169', '427', '479', '485', '480', '357']
921['22', '318', '12', '483', '28', '144', '480', '64', '496', '520']
910['178', '114', '603', '318', '64', '483', '223', '144', '302', '22']
913['190', '192', '114', '511', '124', '199', '705', '187', '484', '513']
915['50', '408', '114', '172', '181', '318', '189', '488', '169', '174']
922['313', '318', '515', '963', '169', '483', '114', '197', '408', '496']
923['302', '474', '98', '603', '1137', '135', '479', '172', '483', '408']
928['474', '603', '427', '480', '275', '498', '174', '479', '483', '408']
927['169', '483', '114', '89', '313', '1019', '173', '22', '479', '223']
924['603', '483', '136', '510', '194', '963', '659', '357', '143', '498']
929['408', '357', '64', '603', '114', '178', '657', '169', '313', '251']
931['318', '169', '408', '23', '114', '12', '64', '178', '190', '357']
917['190', '12', '408', '318', '513', '169', '134', '606', '357', '64']
932['408', '137', '127', '316', '1194', '923', '23', '223', '315', '132']
909['474', '98', '603', '515', '480', '479', '483', '408', '178', '56']
934['169', '318', '79', '98', '479', '19', '478', '48', '513', '22']
933['408', '603', '480', '169', '513', '346', '302', '203', '526', '199']
935['114', '318', '22', '408', '64', '174', '515', '79', '963', '169']
938['169', '135', '483', '603', '223', '185', '408', '197', '204', '302']
940['603', '408', '318', '185', '169', '480', '64', '479', '641', '520']
888['408', '178', '318', '64', '169', '8', '480', '242', '12', '511']
925['64', '318', '114', '483', '50', '12', '357', '603', '169', '530']
942['169', '603', '190', '483', '64', '408', '223', '205', '12', '963']
937['318', '357', '483', '205', '64', '98', '427', '12', '59', '178']
926['318', '483', '50', '64', '191', '520', '427', '178', '181', '169']
943['169', '408', '641', '86', '513', '272', '653', '191', '190', '659']
939['302', '474', '86', '98', '603', '181', '196', '515', '427', '512']
936['483', '178', '114', '1194', '513', '657', '511', '134', '169', '515']
930['178', '134', '408', '529', '603', '657', '507', '488', '513', '963']
920['127', '50', '483', '169', '12', '511', '192', '480', '357', '408']
941['114', '169', '357', '64', '285', '603', '483', '963', '182', '12']
